"Status","Product code","Family","Barcode","CPNP number","Price","Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions","Materials/Ingredients","Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US","Stock","1st image","2nd image","3rd image","4th image","Data updated","Stock updated","Price updated","Images updated"
"Suspended","ArTeaP-09","ArteaP","5056422950510","","2.8","1","Piece","2.8","50g Red Bush Digestive","5.25","0.06","0.06","","Rooibos (84.5%), fennel, mint, star anise, green anise, linden, aroma","<p>Rooibos Digestive</p><p>Mint, meet rooibos. &nbsp;We&#39;re convinced you were made for each other. &nbsp;The sweet flavour of the mint and the refreshing herbal notes of the rooibos are a match made in heaven - and a hint of star anise rounds off this warming blend.</p><p>The main nutritional benefit of rooibos tea lies in its rich antioxidant Rooibos has been a treatment for diarrhea and other stomach issues for centuries due to its anti-inflammatory properties.&nbsp;</p><p>USE: &nbsp;2-3 grams per 200 ml at 95&ordm;C and let stand for 4-5 minutes.</p>","Rooibos DigestiveMint, meet rooibos.  We're convinced you were made for each other.  The sweet flavour of the mint and the refreshing herbal notes of the rooibos are a match made in heaven - and a hint of star anise rounds off this warming blend.The main nutritional benefit of rooibos tea lies in its rich antioxidant Rooibos has been a treatment for diarrhea and other stomach issues for centuries due to its anti-inflammatory properties. USE:  2-3 grams per 200 ml at 95ºC and let stand for 4-5 minutes.","ZAF","2106909260","","","OutofStock","https://www.aw-dropship.com/wi/1831784.jpeg","https://www.aw-dropship.com/wi/1831769.jpeg","https://www.aw-dropship.com/wi/1831791.jpeg","","2022-11-28 9:36","2023-08-07 8:28","","2021-08-06 14:37"
"Suspended","ArTeaP-14","ArteaP","5056422950565","","2.65","1","Piece","2.65","50g Black Magic Blend","5.1","0.06","0.06","","Black tea (76.0%), cinnamon, orange peel, ginger, green cardamom, cloves, crushed black pepper, aroma","<p>Supreme Pakistani Black Tea&nbsp;</p><p>Its essential properties are its exotic flavor and its stimulating power on the nervous system, but in a natural and healthy way. Taken in moderation on a daily basis, it would prevent cardiovascular and neurodegenerative diseases, is diuretic, would slow down the aging of cells, improve bad cholesterol levels in the blood, circulation and would be an excellent remedy in case of hypotension and a propensity to dizziness. .</p><p>USE: 2-3 grams per 200 ml at 90&ordm;C-95&ordm;C and let stand for 3-4 minutes. Add milk or plant-based substitute.</p>","Supreme Pakistani Black Tea Its essential properties are its exotic flavor and its stimulating power on the nervous system, but in a natural and healthy way. Taken in moderation on a daily basis, it would prevent cardiovascular and neurodegenerative diseases, is diuretic, would slow down the aging of cells, improve bad cholesterol levels in the blood, circulation and would be an excellent remedy in case of hypotension and a propensity to dizziness. .USE: 2-3 grams per 200 ml at 90ºC-95ºC and let stand for 3-4 minutes. Add milk or plant-based substitute.","CHN","0902300000","","","OutofStock","https://www.aw-dropship.com/wi/1831788.jpeg","https://www.aw-dropship.com/wi/1831774.jpeg","https://www.aw-dropship.com/wi/1831791.jpeg","","2022-11-28 9:36","2023-08-07 8:31","","2021-08-06 14:38"
"Active","ArTeaP-13","ArteaP","5056422950558","","3.2","1","Piece","3.2","50g Mid-summer Magic","5.75","0.06","0.06","","Pu erh red tea (45.0%), Sencha green tea, cut hibiscus, kiwi (kiwi (56%), sugar, acidifier: citric acid, coloring: E141, antioxidants: SULFUR DIOXIDE), apple (apples (approx. 97, 5%), salt, citric acid E 330, optional ascorbic acid E 300), rose hip, freeze-dried strawberry, aroma","<p>Red Tea Summer Silhouette</p><p>It is perfect for your detox and slimming diets. This combination contains the two most draining teas to aid in your diet: red tea and green tea. The perfect combination. And to that we add kiwi, strawberry, hibiscus, apple and rose hip. A delicious flavour for a perfect and healthy infusion.</p><p>USE: 2-3 grams per 200 ml at 90&ordm;C-95&ordm;C and let stand for 4-5 minutes.</p>","Red Tea Summer SilhouetteIt is perfect for your detox and slimming diets. This combination contains the two most draining teas to aid in your diet: red tea and green tea. The perfect combination. And to that we add kiwi, strawberry, hibiscus, apple and rose hip. A delicious flavour for a perfect and healthy infusion.USE: 2-3 grams per 200 ml at 90ºC-95ºC and let stand for 4-5 minutes.","CHN","0902300000","","","Excess","https://www.aw-dropship.com/wi/1831787.jpeg","https://www.aw-dropship.com/wi/1831773.jpeg","https://www.aw-dropship.com/wi/1831791.jpeg","","2022-11-28 9:36","2024-05-22 13:59","","2021-08-06 14:38"
"Active","ArTeaP-20","ArteaP","5056368333958","","3.3","1","Piece","3.3","50g Organic Chai Black Tea","6.13","0.06","0.06","","Black tea (73.0%), cinnamon, ginger, cloves, green cardamom, crushed black pepper, natural aroma","","","IND","0902100000","","","Normal","https://www.aw-dropship.com/wi/1842135.jpeg","","","","2023-05-30 14:52","2024-05-07 13:59","","2023-05-11 10:52"
"Active","ArTeaP-11","ArteaP","5056422950534","","2.7","1","Piece","2.7","50g Four Kingdoms","5.15","0.06","0.06","","Rooibos (81.0%), apple (6%, apples (approx. 97.5%), salt, citric acid E 330, optional ascorbic acid E 300), cinnamon (6.0%), grated coconut, aroma","<p>Rooibos Apple Cinnamon Yogurt</p><p>Rooibos is a plant that does not contain theine, so it is ideal for consumption at any time or for those who are hypertensive or somewhat nervous. It provides us with a great variety of properties such as antioxidants, remineralizing and diuretic.</p><p>USE: 2-3 grams per 200 ml at 95&ordm;C and let stand for 4-5 minutes.</p>","Rooibos Apple Cinnamon YogurtRooibos is a plant that does not contain theine, so it is ideal for consumption at any time or for those who are hypertensive or somewhat nervous. It provides us with a great variety of properties such as antioxidants, remineralizing and diuretic.USE: 2-3 grams per 200 ml at 95ºC and let stand for 4-5 minutes.","ZAF","2106909260","","","Excess","https://www.aw-dropship.com/wi/1831759.jpeg","https://www.aw-dropship.com/wi/1831771.jpeg","https://www.aw-dropship.com/wi/1831791.jpeg","","2022-11-28 9:36","2024-03-14 16:00","","2021-08-06 14:38"
"Active","ArTeaP-15","ArteaP","5056422950572","","2.65","1","Piece","2.65","50g Dark Brown Magic","5.1","0.06","0.06","","Black tea (58.6%), cocoa shell (3.5%), white chocolate (sugar, cocoa butter (3.9%), whole milk powder, albumin, lactose, emulsifier (E322, SOY lecithin), flavor (vanilla extract)), ALMENDRA crocanti (sugar and ALMOND), dark chocolate shavings (2%, cocoa paste (34.0%), sugar, BUTTER oil, emulsifier (E322), aroma (extract of vanilla)), aroma","<p>Black Tea Brownie&nbsp;</p><p>Do you feel like something sweet but do not want to sin in your diet? Black tea is a healthy energizer that will activate your body with this delicious flavored blend. Mix it with milk on cold winter afternoons or to start the day happier. Don&#39;t resist this healthy and sweet treat!</p><p>USE: 2-3 grams per 200 ml at 90&ordm;C-95&ordm;C and let stand for 3-4 minutes. Add milk or plant-based substitute.</p>","Black Tea Brownie Do you feel like something sweet but do not want to sin in your diet? Black tea is a healthy energizer that will activate your body with this delicious flavored blend. Mix it with milk on cold winter afternoons or to start the day happier. Don't resist this healthy and sweet treat!USE: 2-3 grams per 200 ml at 90ºC-95ºC and let stand for 3-4 minutes. Add milk or plant-based substitute.","CHN","0902300000","","","Excess","https://www.aw-dropship.com/wi/1831789.jpeg","https://www.aw-dropship.com/wi/1831775.jpeg","https://www.aw-dropship.com/wi/1831791.jpeg","","2022-02-11 8:23","2024-05-22 13:59","","2021-08-06 14:38"
"Active","ArTeaP-18","ArteaP","5056368333934","","3.3","1","Piece","3.3","50g Organic Cinnamon Black Tea","6.13","0.06","0.06","","Black tea (84.0%), cinnamon (14.0%), natural aroma","","","IND","0902100000","","","Excess","https://www.aw-dropship.com/wi/1842133.jpeg","","","","2023-05-30 14:51","2024-05-24 14:17","","2023-05-11 10:52"
"Active","ArTeaP-08","ArteaP","5056422950503","","3.4","1","Piece","3.4","50g Ethernal Elixir","6.45","0.06","0.06","","Sencha green tea, Pai Mu Tan white tea (30.0%), chopped cinnamon, cinnamon, apple (apples (approx. 97.5%), salt, citric acid E 330, optional ascorbic acid E 300), rolled ALMOND, aroma","<p>Eternal Youth White Tea&nbsp;</p><p>The Sencha &amp; Pai Mu Tan White Tea is a fresh tasting tea blending the smooth, sweet taste of Sencha Green Tea with the subtle, apple &amp; cinnamon sweetness.&nbsp;</p><p>In addition to aiding weight loss and helping in the treatment of diabetes, white tea is beneficial in numerous ways. These include improving skin and hair health, keeping the heart healthy &nbsp;and improving oral health.</p><p>USE: &nbsp;2 grams per 200 ml at 65&ordm;C-75&ordm;C and let stand for 5-8 minutes.</p>","Eternal Youth White Tea The Sencha & Pai Mu Tan White Tea is a fresh tasting tea blending the smooth, sweet taste of Sencha Green Tea with the subtle, apple & cinnamon sweetness. In addition to aiding weight loss and helping in the treatment of diabetes, white tea is beneficial in numerous ways. These include improving skin and hair health, keeping the heart healthy  and improving oral health.USE:  2 grams per 200 ml at 65ºC-75ºC and let stand for 5-8 minutes.","CHN","0902100000","","","Excess","https://www.aw-dropship.com/wi/1831783.jpeg","https://www.aw-dropship.com/wi/1831768.jpeg","https://www.aw-dropship.com/wi/1831791.jpeg","","2022-11-28 9:36","2024-05-22 13:59","","2021-08-06 14:37"
"Active","ArTeaP-12","ArteaP","5056422950541","","2.65","1","Piece","2.65","50g Yogi Spice Blend","5.1","0.06","0.06","","Cinnamon, ginger, cardamom seeds, cloves","<p>Yogi Spice Tea</p><p>Yogi Spice contains the four spices, par excellence, stimulants, aphrodisiacs and that activate the happiness hormone. It is advisable to take it during the day, since we are going to be active and wanting to eat the world.</p><p>USE: 4 grams per 200 ml at 95&ordm;C and let stand for 5-10 minutes.</p>","Yogi Spice TeaYogi Spice contains the four spices, par excellence, stimulants, aphrodisiacs and that activate the happiness hormone. It is advisable to take it during the day, since we are going to be active and wanting to eat the world.USE: 4 grams per 200 ml at 95ºC and let stand for 5-10 minutes.","IDN","0910911000","","","VeryLow","https://www.aw-dropship.com/wi/1831786.jpeg","https://www.aw-dropship.com/wi/1831772.jpeg","https://www.aw-dropship.com/wi/1831791.jpeg","","2022-11-28 9:36","2024-06-21 9:52","","2021-08-06 14:38"
"Active","ArTeaP-04","ArteaP","5056422950466","","2.7","1","Piece","2.7","50g Mindfulness Meditation","5.15","0.06","0.06","","Chamomile, yarrow, St. John's wort, lavender, lemon balm, lapacho, hawthorn, passionflower, aroma","<p>Total Relax</p><p>Heads of camomile flowers plucked and dried straight from the field for a wonderfully relaxing Infusion.&nbsp;</p><p>The best camomile evokes the essence of a summer meadow: floral, uplifting and with a breezy scent that calms the spirit.&nbsp;</p><p>The notes of lemon and lavender will give freshness to the relaxing mix.Chamomile has been valued as a digestive relaxant and has been used to treat various gastrointestinal disturbances</p><p>USE: 4 grams per 200 ml at 95&ordm;C for 5-10 minutes standing</p>","Total RelaxHeads of camomile flowers plucked and dried straight from the field for a wonderfully relaxing Infusion. The best camomile evokes the essence of a summer meadow: floral, uplifting and with a breezy scent that calms the spirit. The notes of lemon and lavender will give freshness to the relaxing mix.Chamomile has been valued as a digestive relaxant and has been used to treat various gastrointestinal disturbancesUSE: 4 grams per 200 ml at 95ºC for 5-10 minutes standing","POL","2106909260","","","Normal","https://www.aw-dropship.com/wi/1831780.jpeg","https://www.aw-dropship.com/wi/1831764.jpeg","https://www.aw-dropship.com/wi/1831791.jpeg","","2022-11-28 9:36","2024-06-18 13:29","","2021-08-06 14:37"
